palabra,estado,rank,indice_vq,probabilidad,num_simbolos_casi_cero,porcentaje_simbolos_casi_cero,umbral_casi_cero
arranca,1,1,194,0.047353744954653616,144,56.25,1e-05
arranca,1,2,57,0.0362116876459721,144,56.25,1e-05
arranca,1,3,211,0.032033416155216536,144,56.25,1e-05
arranca,1,4,14,0.026462387500875775,144,56.25,1e-05
arranca,1,5,74,0.025069630337290583,144,56.25,1e-05
arranca,1,6,23,0.025069630337290583,144,56.25,1e-05
arranca,1,7,142,0.023676873173705395,144,56.25,1e-05
arranca,1,8,237,0.022284116010120203,144,56.25,1e-05
arranca,1,9,254,0.022284116010120203,144,56.25,1e-05
arranca,1,10,148,0.019498601682949823,144,56.25,1e-05
almacen,1,1,36,0.059097956253379796,156,60.9375,1e-05
almacen,1,2,33,0.043545862911755995,156,60.9375,1e-05
almacen,1,3,178,0.03421460690678171,156,60.9375,1e-05
almacen,1,4,237,0.03110418823845695,156,60.9375,1e-05
almacen,1,5,82,0.027993769570132186,156,60.9375,1e-05
almacen,1,6,14,0.027993769570132186,156,60.9375,1e-05
almacen,1,7,164,0.026438560235969806,156,60.9375,1e-05
almacen,1,8,234,0.026438560235969806,156,60.9375,1e-05
almacen,1,9,53,0.023328141567645042,156,60.9375,1e-05
almacen,1,10,236,0.023328141567645042,156,60.9375,1e-05
base,1,1,157,0.05025994477201758,147,57.421875,1e-05
base,1,2,199,0.04506064031971591,147,57.421875,1e-05
base,1,3,217,0.03986133586741425,147,57.421875,1e-05
base,1,4,25,0.0381282343833137,147,57.421875,1e-05
base,1,5,87,0.025996523994609808,147,57.421875,1e-05
base,1,6,145,0.025996523994609808,147,57.421875,1e-05
base,1,7,97,0.025996523994609808,147,57.421875,1e-05
base,1,8,215,0.025996523994609808,147,57.421875,1e-05
base,1,9,110,0.024263422510509253,147,57.421875,1e-05
base,1,10,246,0.024263422510509253,147,57.421875,1e-05
recoge,1,1,134,0.03278687514557373,140,54.6875,1e-05
recoge,1,2,14,0.03278687514557373,140,54.6875,1e-05
recoge,1,3,210,0.028688515923141977,140,54.6875,1e-05
recoge,1,4,163,0.028688515923141977,140,54.6875,1e-05
recoge,1,5,231,0.027322396182331395,140,54.6875,1e-05
recoge,1,6,80,0.027322396182331395,140,54.6875,1e-05
recoge,1,7,215,0.02595627644152081,140,54.6875,1e-05
recoge,1,8,138,0.024590156700710228,140,54.6875,1e-05
recoge,1,9,140,0.024590156700710228,140,54.6875,1e-05
recoge,1,10,144,0.024590156700710228,140,54.6875,1e-05
suelo,1,1,56,0.084628634430172,180,70.3125,1e-05
suelo,1,2,223,0.07253882975830671,180,70.3125,1e-05
suelo,1,3,204,0.06390325499268865,180,70.3125,1e-05
suelo,1,4,201,0.04317787555520529,180,70.3125,1e-05
suelo,1,5,75,0.037996530695834446,180,70.3125,1e-05
suelo,1,6,152,0.037996530695834446,180,70.3125,1e-05
suelo,1,7,242,0.03281518583646361,180,70.3125,1e-05
suelo,1,8,171,0.027633840977092768,180,70.3125,1e-05
suelo,1,9,234,0.027633840977092768,180,70.3125,1e-05
suelo,1,10,190,0.02590672602396915,180,70.3125,1e-05
mira,1,1,242,0.06435641010686306,184,71.875,1e-05
mira,1,2,130,0.05115509555164281,184,71.875,1e-05
mira,1,3,234,0.04950493123224028,184,71.875,1e-05
mira,1,4,127,0.04290427395463015,184,71.875,1e-05
mira,1,5,144,0.03300328803821496,184,71.875,1e-05
mira,1,6,106,0.029702959399409895,184,71.875,1e-05
mira,1,7,246,0.029702959399409895,184,71.875,1e-05
mira,1,8,254,0.029702959399409895,184,71.875,1e-05
mira,1,9,241,0.029702959399409895,184,71.875,1e-05
mira,1,10,215,0.026402630760604832,184,71.875,1e-05
izquierda,1,1,160,0.10419902694408884,179,69.921875,1e-05
izquierda,1,2,120,0.08398130559997788,179,69.921875,1e-05
izquierda,1,3,36,0.06998442159251646,179,69.921875,1e-05
izquierda,1,4,250,0.05132190958256789,179,69.921875,1e-05
izquierda,1,5,220,0.04976670024840551,179,69.921875,1e-05
izquierda,1,6,245,0.040435444243431234,179,69.921875,1e-05
izquierda,1,7,255,0.038880234909268854,179,69.921875,1e-05
izquierda,1,8,38,0.03265939757261933,179,69.921875,1e-05
izquierda,1,9,32,0.026438560235969806,179,69.921875,1e-05
izquierda,1,10,24,0.026438560235969806,179,69.921875,1e-05
grua,1,1,36,0.06521736287020853,151,58.984375,1e-05
grua,1,2,242,0.047101429242815435,151,58.984375,1e-05
grua,1,3,199,0.045289835880076124,151,58.984375,1e-05
grua,1,4,144,0.0416666491545975,151,58.984375,1e-05
grua,1,5,201,0.0416666491545975,151,58.984375,1e-05
grua,1,6,191,0.03985505579185819,151,58.984375,1e-05
grua,1,7,226,0.03623186906637957,151,58.984375,1e-05
grua,1,8,69,0.03079708897816164,151,58.984375,1e-05
grua,1,9,14,0.027173902252683017,151,58.984375,1e-05
grua,1,10,78,0.027173902252683017,151,58.984375,1e-05
freno,1,1,52,0.10647176146811914,167,65.234375,1e-05
freno,1,2,21,0.06471813033853578,167,65.234375,1e-05
freno,1,3,11,0.043841314773744096,167,65.234375,1e-05
freno,1,4,241,0.033402906991348257,167,65.234375,1e-05
freno,1,5,205,0.033402906991348257,167,65.234375,1e-05
freno,1,6,215,0.025052180765431576,167,65.234375,1e-05
freno,1,7,75,0.025052180765431576,167,65.234375,1e-05
freno,1,8,236,0.025052180765431576,167,65.234375,1e-05
freno,1,9,193,0.022964499208952407,167,65.234375,1e-05
freno,1,10,207,0.022964499208952407,167,65.234375,1e-05
entrega,1,1,130,0.04098359099705035,147,57.421875,1e-05
entrega,1,2,69,0.03770490384843381,147,57.421875,1e-05
entrega,1,3,225,0.03442621669981727,147,57.421875,1e-05
entrega,1,4,70,0.031147529551200724,147,57.421875,1e-05
entrega,1,5,171,0.027868842402584183,147,57.421875,1e-05
entrega,1,6,26,0.027868842402584183,147,57.421875,1e-05
entrega,1,7,216,0.027868842402584183,147,57.421875,1e-05
entrega,1,8,164,0.027868842402584183,147,57.421875,1e-05
entrega,1,9,50,0.024590155253967638,147,57.421875,1e-05
entrega,1,10,144,0.024590155253967638,147,57.421875,1e-05
